📺央视频道,#genre#
广东卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000090/1000.m3u8?
深圳卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000092/1000.m3u8?
江苏卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000095/1000.m3u8?
浙江卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000098/1000.m3u8?
河北卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000097/1000.m3u8?
吉林卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000096/1000.m3u8?
厦门卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000093/1000.m3u8?
广西卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000081/1000.m3u8?
云南卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000080/1000.m3u8?
青海卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000076/1000.m3u8?
内蒙古卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000074/1000.m3u8?
东南卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000063/1000.m3u8?
宁夏卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000057/1000.m3u8?
陕西卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000055/1000.m3u8?
甘肃卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000054/1000.m3u8?
农林卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000127/1000.m3u8?
北京纪实科教,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000015/1000.m3u8?
金鹰纪实,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000075/1000.m3u8?
国学频道,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000058/1000.m3u8?
百姓健康,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000037/1000.m3u8?
书画频道,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000020/1000.m3u8?
法治天地,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000123/1000.m3u8?
中华特产,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000046/1000.m3u8?
中国天气,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000045/1000.m3u8?
生态环境,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000220/1000.m3u8?
快乐垂钓,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000044/1000.m3u8?
四海钓鱼,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000049/1000.m3u8?
乐游,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000106/1000.m3u8?
生活时尚,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000109/1000.m3u8?
都市剧场,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000110/1000.m3u8?
环球奇观,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000160/1000.m3u8?
